Cava,Puntuació,id,Municipi,id_cava,Comarca,Província,Població
Mosst Masia Serra,176.87,128048,Figueres,7756,Alt Empordà,Girona,47235
La Crusset,176.72,66746,Vilassar de Mar,5056,Maresme,Barcelona,21035
Masia el Sot,176.67,40330,Sant Sadurní d'Anoia,3350,Alt Penedès,Barcelona,12841
Benigne Sanabre,176.39,26992,Bonastre,32,Baix Penedès,Tarragona,685
10,176.35,118870,Sant Jaume dels Domenys,6218,Baix Penedès,Tarragona,2624
Aynés i Roca,176.32,49324,Terrassa,4424,Vallès Occidental,Barcelona,223627
Ariscondel,176.05,1961,Rubí,423,Vallès Occidental,Barcelona,78591
Henri Nouel,175.99,4275,Sant Sadurní d'Anoia,586,Alt Penedès,Barcelona,12841
Manyé Robert - M,175.4,39511,La Secuita,4500,Tarragonès,Tarragona,1708
E Demissy,175.27,56240,Barcelona,4649,Barcelonès,Barcelona,1664182
Cardoner (M),174.95,39315,-,4469,,,
Llusià i Arnal (M.),174.8,1952,Sant Sadurní d'Anoia,4125,Alt Penedès,Barcelona,12841
Trobades 2008,174.78,39206,-,3776,,,
Blau de Germain,174.19,3836,Les Cabanyes,40,Alt Penedès,Barcelona,1012
Trobades 2007,173.78,15993,-,3393,,,
Addaia,173.55,32739,-,8816,,,
Olivella i Bonet,173.54,4727,L'Arboç,8649,Baix Penedès,Tarragona,5609
Finca La Gramanosa,173.15,87359,Avinyonet del Penedès,9208,Alt Penedès,Barcelona,1697
Sàniger,172.45,112247,Vilobí del Penedès,1239,Alt Penedès,Barcelona,1102
Priar,172.37,72215,Sant Sadurní d'Anoia,4915,Alt Penedès,Barcelona,12841
Bernat de Fortià,172.25,335,Olèrdola,35,Alt Penedès,Barcelona,3768
Elisabeth Bofill,172.02,1486,Banyeres del Penedès,122,Baix Penedès,Tarragona,3207
Trobades,171.98,7378,-,104,,,
Ramador,171.92,10240,Pacs del Penedès,6899,Alt Penedès,Barcelona,918
Agrícola Bonmas,171.9,36609,Bonastre,5227,Baix Penedès,Tarragona,685
Masia Roda Milans,171.9,2063,Sant Martí Sarroca,507,Alt Penedès,Barcelona,3261
Equilibri Natural Funanbul,170.92,83256,BARCELONA,8791,Barcelonès,Barcelona,1664182
Enblave S.L.,170.77,41039,Santa Eulàlia de Ronçana,3249,Vallès Oriental,Barcelona,7426
Martí  Llata,170.48,1574,-,216,,,
Salvador Mata Oliva,170.36,9375,Sant Sadurní d'Anoia,1073,Alt Penedès,Barcelona,12841
Veuve AmbalFrança (mousseux),170.23,9321,Montagny-lès-Beaune,1057,,Côte-d'Or,715
Baxaulí,169.98,25581,Vilanova i la Geltrú,4068,Garraf,Barcelona,67733
Cellers Monserrat,169.24,10872,Mataró,4109,Maresme,Barcelona,129661
Quod Libet,169.21,3860,Sant Sadurní d'Anoia,301,Alt Penedès,Barcelona,12841
Enric Morató Iglesias,168.88,51835,-,3273,,,
Bodegas Montcau,168.7,997,Gelida,44,Alt Penedès,Barcelona,7670
Celler Martín Faixó,168.29,115454,Roses,5769,Alt Empordà,Girona,19807
Llusià i Arnal,168.18,4370,-,201,,,
Formiga & Sicres,167.67,2877,Riudarenes,3497,Selva,Girona,2204
Fin de Siglo - E,167.59,3599,Orense,132,,Orense,104891
Mar de Frades - E,167.47,98608,Meis,5662,,Pontevedra,4703
Artexanea Vinicola,167.15,55140,L'Hospitalet de Llobregat,4735,Barcelonès,Barcelona,269382
Pitel·lo,166.82,41322,Sant Sadurní d'Anoia,801,Alt Penedès,Barcelona,12841
Barbaros - Rosado - E,166.55,3172,Sonseca,569,,Toledo,11328
Serralada de Marina,166.53,79444,Martorelles,5229,Vallès Oriental,Barcelona,4820
Angelsa,166.26,98025,Sant Quirze del Vallès,5825,Vallès Occidental,Barcelona,20195
Trobades 2006,166.06,23012,-,3263,,,
Vilardell,165.79,26820,Barcelona,375,Barcelonès,Barcelona,1664182
Marie StuartFrança (champagne),165.79,8022,Reims,687,,Marne,174478
Gomà,165.75,57591,-,8587,,,
Marqués de Estivella - E,165.59,7841,Estivella,209,Camp de Morvedre,València,1456
Pairet,165.59,10782,-,3628,,,
Brut d'ArgentFrança (mousseux),165.38,11637,-,3574,,,
2000,165.26,4688,-,3931,,,
Coop. El Pla de Santa Maria,165.26,13456,El Pla de Santa Maria,499,Alt Camp,Tarragona,2348
Senyor de Montcada,164.97,10390,Sant Sadurní d'Anoia,1238,Alt Penedès,Barcelona,12841
BerlucchiItàlia,164.95,11198,Corte Franca,786,,Brescia,6267
