Cava,Puntuació,id,Municipi,id_cava,Comarca,Província,Població
Empordàlia,279.26,95987,Vilajuïga,4695,Alt Empordà,Girona,1116
Suriol,279.06,1421,Font-Rubí,58,Alt Penedès,Barcelona,1414
Ninavinatera,278.36,149289,Barcelona,7287,Barcelonès,Barcelona,1664182
Celler dels Plans,276.99,32219,Barcelona,3603,Barcelonès,Barcelona,1664182
Joan Bundó Pons,276.93,539,Pacs del Penedès,173,Alt Penedès,Barcelona,918
Emilia Freixedas,276.81,70060,El Vendrell,4570,Baix Penedès,Tarragona,38373
Casamartina i Malet,276.4,2128,-,70,,,
Vardon Kennett - de Miguel Torres S.A.,276.4,142356,Mediona,7040,Alt Penedès,Barcelona,2369
Vilajó,276.37,1945,Capellades,373,Anoia,Barcelona,5342
Mar Salada By I Tant Vins,276.21,118989,Castelldefels,6875,Baix Llobregat,Barcelona,67460
Amànima,275.92,122577,Sant Sadurní d'Anoia,5968,Alt Penedès,Barcelona,12841
Rubinat,275.86,84303,Sant Sadurní d'Anoia,3754,Alt Penedès,Barcelona,12841
Ramon Nadal Giró,275.4,19591,El Pla del Penedès,483,Alt Penedès,Barcelona,1275
Durand Vve.França (champagne),275.27,10363,-,1821,,,
Botigues,275.04,1196,-,487,,,
Xepitus,274.92,36982,Sant Sadurní d'Anoia,573,Alt Penedès,Barcelona,12841
Duc de Benach,274.04,13254,La Granada,6270,Alt Penedès,Barcelona,2208
Bodegas Bordejé - E,273.5,3816,Ainzón,577,,Zaragoza,1043
Perrier JouetFrança (champagne),272.17,33734,Épernay,765,,Marne,22022
Pedro Rovira,272.08,2125,,280,,,
Bastets,271.58,89831,Sarral,5487,Conca de Barberà,Tarragona,1538
Mas Cancolomé,271.47,60820,Castellet i la Gornal,4987,Alt Penedès,Barcelona,2382
Piteus - (M),271.11,5857,Sant Andreu de la Barca,6546,Baix Llobregat,Barcelona,27569
Francesc Ollé Amat - (M.),270.86,138629,Castellví de Rosanes,5375,Baix Llobregat,Barcelona,1933
Masia Perelada,270.7,72272,Peralada,5070,Alt Empordà,Girona,1898
Muscàndia,270.14,127751,Sant Sadurní d'Anoia,5220,Alt Penedès,Barcelona,12841
Coop. Cambrils,269.92,46,CAMBRILS,95,Baix Camp,Tarragona,34734
Cristina Ventura - C V,269.51,84150,Sant Sadurní d'Anoia,5285,Alt Penedès,Barcelona,12841
L'Olivera,269.38,57069,Vallbona de les Monges,2438,Urgell,Lleida,243
Celler Cooperatiu  La Granada,269.08,19737,La Granada,82,Alt Penedès,Barcelona,2208
Trias-Batlle (M.),268.31,105315,Vilafranca del Penedès,6423,Alt Penedès,Barcelona,40154
Castell de Pujades,268.3,152461,Barcelona,6325,Barcelonès,Barcelona,1664182
Claverol,268.23,2016,Subirats,501,Alt Penedès,Barcelona,3104
Ball i Gran,268.08,802,Sant Sadurní d'Anoia,24,Alt Penedès,Barcelona,12841
Coviñas - E,267.96,43762,Requena,4274,Plana d'Utiel,València,20254
Maians Vell,266.52,33088,Castellfollit del Boix,396,Bages,Barcelona,447
Celler Batlle,266.24,87053,Avinyonet del Penedès,748,Alt Penedès,Barcelona,1697
Ses Vernes,265.86,73414,Blanes,5484,Selva,Girona,39914
Gavarnié,265.21,630,Piera,144,Anoia,Barcelona,16134
Oficials,265.06,1520,-,105,,,
Vega Medien - E,265.02,45299,Requena,3480,Plana d'Utiel,València,20254
Monjoy,263.88,629,Sant Pere de Riudebitlles,248,Alt Penedès,Barcelona,2380
Anglada,263.3,2291,Sant Sadurní d'Anoia,10,Alt Penedès,Barcelona,12841
Espinaler,262.17,133438,Vilassar de Mar,7428,Maresme,Barcelona,21035
Lombardini CantineItàlia,261.98,17482,Novellara,888,,Reggio Emilia,13623
Palacio de Bornos - E,261.95,8702,Rueda,833,,Valladolid,1103
Commemoratives,261.92,9430,-,737,,,
DeutzFrança (champagne),261.57,4205,Aÿ-Champagne,684,,Marne,5841
Matèria Viva Siglo XIX La Phylloxera,261.51,919,Vallromanes,4682,Vallès Oriental,Barcelona,2558
Sense alcohol,259.96,144148,-,8731,,,
Pere Mata,259.44,1510,Sant Sadurní d'Anoia,283,Alt Penedès,Barcelona,12841
Xebrat,259.39,813,Sant Sadurní d'Anoia,443,Alt Penedès,Barcelona,12841
Bellavita Casa Vin.Itàlia,259.39,2865,Missaglia,2737,,Lecco,8487
Gran d'Art,259.15,8259,Subirats,492,Alt Penedès,Barcelona,3104
Castell de Biart,257.64,11275,Masarac i Vilarnadal,511,Alt Empordà,Girona,288
Juan Mestre,257.49,98,Tiana,186,Maresme,Barcelona,8945
M. Bosch,257.33,44327,Granollers,4971,Vallès Oriental,Barcelona,62419
Roger Marsal,257.23,1397,Sant Sadurní d'Anoia,474,Alt Penedès,Barcelona,12841
Pirules d'Altres Autonomies,257.03,155265,-,3925,,,
Portell I Farrús,256.91,838,Piera,294,Anoia,Barcelona,16134
Pedro J. Ventura,256.75,939,Sant Sadurní d'Anoia,455,Alt Penedès,Barcelona,12841
Piper - HeidsieckFrança (champagne),256.62,68013,Reims,722,,Marne,174478
Coop. Albinyana,256.08,32720,Albinyana,496,Baix Penedès,Tarragona,2468
Giró del Gorner,255.94,2126,Puigdàlber,149,Alt Penedès,Barcelona,524
"Vivas Bou, J.",255.84,13673,Barcelona,670,Barcelonès,Barcelona,1664182
ChiarliItàlia,255.82,26234,Modena,664,,Modena,184153
Bodegas Hispano Suizas - E,255.11,7866,València,3906,València,València,794288
Vell Tribac,254.54,3818,Maçanet de la Selva,362,Selva,Girona,7066
Castell de Calders,254.46,391,Reus,4961,Baix Camp,Tarragona,106168
Raventós Soler,254.33,16405,Sant Sadurní d'Anoia,308,Alt Penedès,Barcelona,12841
Montau de Sadurní,253.42,1808,Begues,250,Baix Llobregat,Barcelona,7300
Carta Universal,253.41,2153,Sant Sadurní d'Anoia,69,Alt Penedès,Barcelona,12841
Barraló,253.22,1499,Sant Sadurní d'Anoia,27,Alt Penedès,Barcelona,12841
Emprius,253.12,72913,La Garriga,5076,Vallès Oriental,Barcelona,16668
Palau & Farré,252.43,59213,Gelida,271,Alt Penedès,Barcelona,7670
Villa Conchi - Bodegas Villa Conchi,252.2,100487,Vila-Rodona,5751,Alt Camp,Tarragona,1276
Montferry,251.99,441,Santa Margarida i els Monjos,252,Alt Penedès,Barcelona,7676
Quilez,251.75,2336,Barcelona,302,Barcelonès,Barcelona,1664182
Arjau,251.62,1459,Palafrugell,13,Baix Empordà,Girona,23244
Beatriz de Cardauneur,251.54,303,Vilafranca del Penedès,29,Alt Penedès,Barcelona,40154
Puig Amat,251.22,3985,Bell-lloc d'Urgell,298,Pla d'Urgell,Lleida,2335
Pere Abadal,250.26,1492,Barcelona,282,Barcelonès,Barcelona,1664182
Ramón Raventós,250.12,149868,Avinyonet del Penedès,7696,Alt Penedès,Barcelona,1697
Masia Freixe,249.83,695,Piera,762,Anoia,Barcelona,16134
Grabuach,248.17,358,Font-rubí,151,Alt Penedès,Barcelona,1414
Biel-lo,247.75,9487,La Llacuna,4198,Anoia,Barcelona,903
Zuviria,247.4,41129,Banyeres del Penedès,4765,Baix Penedès,Tarragona,3207
Campo Viejo - M,246.94,83184,Logroño,3482,,La Rioja,151164
Josep M. Ferret Guasch,246.78,31706,Font-Rubí,182,Alt Penedès,Barcelona,1414
LafitteFrança (champagne),246.67,3969,Pauillac,2080,,Gironda,1274
MercierFrança (champagne),246.42,4156,Épernay,691,,Marne,22022
Mont d'Arac,246.23,68702,Vilobí del Penedès,462,Alt Penedès,Barcelona,1102
Gran Sativa,244.78,164221,Sant Sadurní d'Anoia,4521,Alt Penedès,Barcelona,12841
Maria Isabel León,244.21,16632,-,8554,,,
1714,244.16,10466,Castellví de la Marca,5962,Alt Penedès,Barcelona,1575
Genèriques - Champ. ClassiquesFrança (champagne),244.16,6855,-,3927,,,
Rocabruna,244.13,9166,Torrelavit,316,Alt Penedès,Barcelona,1422
Bartolí,243.94,13965,Sant Sadurní d'Anoia,28,Alt Penedès,Barcelona,12841
Giacobazzi -Itàlia (ICRF),243.93,68919,Modena,809,,Modena,184153
Esplet de Gran Anyada,243.69,13462,Esparreguera,4363,Baix Llobregat,Barcelona,22302
Tura D'Arnau,243.55,1433,Terrassa,356,Vallès Occidental,Barcelona,223627
Gaya & Aguilera,243.45,2200,Santa Oliva,145,Baix Penedès,Tarragona,3353
"Compañía Champañera, S.A.",243.12,2114,Sant Sadurní d'Anoia,53,Alt Penedès,Barcelona,12841
Font i Jordana,242.12,3064,Les Franqueses del Vallès,133,Vallès Oriental,Barcelona,20364
Torrallardona,241.85,59007,Sant Sadurní d'Anoia,3303,Alt Penedès,Barcelona,12841
Hoya de Cadenas - M,241.7,46955,Chiva,4328,,València,17245
Mont Charell - C.P.,241.48,55201,Sant Sadurní d'Anoia,4612,Alt Penedès,Barcelona,12841
Catania,241.16,106396,Terrassa,3316,Vallès Occidental,Barcelona,223627
Mont Caranac,241.13,22863,L'Arboç,3357,Baix Penedès,Tarragona,5609
Heidsieck MonopoleFrança (champagne),241.09,24349,Reims,1999,,Marne,174478
Abbazia VinicolaItàlia (ICRF),241.09,12904,-,840,,,
Domènech Ferrer,240.88,1913,La Granada,114,Alt Penedès,Barcelona,2208
Celler Can Pereclara,240.37,55203,Calonge i Sant Antoni,568,Baix Empordà,Girona,11331
Varis Marquistes,239.74,91119,-,8563,,,
Charlotte Rigaud,239.66,132016,-,7886,,,
"Empreses, sèries",239.42,3097,-,4009,,,
FeuillatteFrança (champagne),238.34,15140,-,757,,,
Bodegas Muga - E,238.05,98941,-,713,,,
Roca Gibert,237.47,45006,Sant Sadurní d'Anoia,418,Alt Penedès,Barcelona,12841
Joan Marina,237.38,9691,Sant Sadurní d'Anoia,761,Alt Penedès,Barcelona,12841
Entrena & Prados,236.97,439,TERRASSA,124,Vallès Occidental,Barcelona,223627
Can Morral del Molí,236.6,120939,Abrera,5764,Baix Llobregat,Barcelona,12538
Paul Cheneau,236.57,13420,Santa Fe del Penedès,277,Alt Penedès,Barcelona,367
Giacobazzi -Itàlia,236.49,9615,-,809,,,
1909,236.19,141640,-,7329,,,
Coop. Agrícola Garriguella,235.9,104595,Garriguella,5866,Alt Empordà,Girona,853
Joan Ferrer Bigorra,235.72,34146,OLESA DE MONTSERRAT,3595,Baix Llobregat,Barcelona,24144
Lligams,235.18,90774,Viladecans,5743,Baix Llobregat,Barcelona,67197
L'Anae,234.85,98590,Vilanova del Vallès,5109,Vallès Oriental,Barcelona,5503
Caytusa - E,234.6,34857,Ainzón,585,,Zaragoza,1043
Castell de Bell Esguard,234.57,1497,-,72,,,
Vinya de Coll-Bas,234.48,21726,Sant Joan Despí,3356,Baix Llobregat,Barcelona,34267
Universitat Rovira i Virgili,234.23,2397,Constantí,5903,Tarragonès,Tarragona,6665
Lincon,234.18,2665,Sant Sadurní d'Anoia,199,Alt Penedès,Barcelona,12841
Coop. Calafell,233.73,18578,Calafell,495,Baix Penedès,Tarragona,27601
Mas Romaní,232.63,31874,Font-Rubí,576,Alt Penedès,Barcelona,1414
Just Presents,232.36,3403,Piera,189,Anoia,Barcelona,16134
Masia Can Mayol,231.75,2060,Vilobí del Penedès,233,Alt Penedès,Barcelona,1102
CinzanoItàlia,231.69,10827,-,666,,,
LansonFrança (champagne),231.55,49657,-,2098,,,
F. Baqués Rovira,231.17,1598,Santa Margarida i els Monjos,25,Alt Penedès,Barcelona,7676
Mont Paral,231.09,13660,Castellví de Rosanes,3300,Baix Llobregat,Barcelona,1933
Ametller,230.99,199435,La Morera de Montsant,416,Priorat,Tarragona,159
Blanca Flor,230.23,28428,Blancafort,498,Conca de Barberà,Tarragona,382
S. Roig,229.81,10490,Sant Sadurní d'Anoia,3514,Alt Penedès,Barcelona,12841
Silvia Cusachs,229.8,808,Sant Pere de Riudebitlles,439,Alt Penedès,Barcelona,2380
Almuzara Carreras,229.71,628,Sant Llorenç d'Hortons,8,Alt Penedès,Barcelona,2428
RR Sadurní,229.65,37083,Olèrdola,4188,Alt Penedès,Barcelona,3768
Viladellops,229.18,1570,Olèrdola,372,Alt Penedès,Barcelona,3768
Portabella & Coma - M,229.14,2157,Palma de Mallorca,292,,Illes Balears,430640
De CazanoveFrança (champagne),229.09,10622,-,764,,,
Cap de Ruc,228.98,129919,Cornudella de Montsant,5921,Priorat,Tarragona,944
El Meu Avi,228.92,29499,Sant Sadurní d'Anoia,8876,Alt Penedès,Barcelona,12841
Comte de BrismandFrança (champagne),228.91,18817,-,3387,,,
Chateau d'Arnoc,228.82,9345,Masquefa,482,Anoia,Barcelona,9402
Joan Francesc,228.67,3947,-,3458,,,
Jung Redemann,228.62,1247,-,188,,,
Helenia,228.56,45083,BARCELONA,4429,Barcelonès,Barcelona,1664182
Xavier Tous Font,228.14,21475,Subirats,383,Alt Penedès,Barcelona,3104
Prada a Tope - E,228.05,4725,Arganza,3257,,León,805
Vendrell & Baqués,227.75,14674,Avinyonet del Penedès,6273,Alt Penedès,Barcelona,1697
"Associacions i clubs, sèries",227.21,89958,-,4018,,,
Bodegas Trobat,226.92,43791,Garriguella,4884,Alt Empordà,Girona,853
Sants Farré,226.65,89336,-,339,,,
Josep Foraster,226.36,136873,Montblanc,6881,Conca de Barberà,Tarragona,7379
2005,225.86,151889,-,7259,,,
Union de St-GallFrança (champagne),225.56,6848,-,775,,,
Josep Mitjans,225.42,13101,-,3288,,,
Perbat,225.1,1007,Torrelavit,281,Alt Penedès,Barcelona,1422
DelamotteFrança (champagne),224.78,2713,-,741,,,
Francesc Ricart - M,224.72,97914,Logroño,5665,,La Rioja,151164
ChanoineFrança (champagne),224.61,16684,-,1588,,,
Estel d'argent,224.31,52900,-,4585,,,
Empreses - Hite,223.92,3212,-,108,,,
Barnils,223.39,375,Castelldefels,4796,Baix Llobregat,Barcelona,67460
DrappierFrança (champagne),222.87,2824,-,1072,,,
La Gresca - Vinos del Paseante la Gresca,222.22,108527,Sant Sadurní d'Anoia,5967,Alt Penedès,Barcelona,12841
Jean Perico,221.19,2731,Sant Sadurní d'Anoia,562,Alt Penedès,Barcelona,12841
Vila i Durán,221.15,2074,-,369,,,
Costers del Sió,220.93,113986,Balaguer,5906,Noguera,Lleida,17472
Catalonia,220.56,31031,Sitges,5523,Garraf,Barcelona,29553
Fríguls,220.1,1203,Sant Sadurní d'Anoia,140,Alt Penedès,Barcelona,12841
Cellers Camp de Tarragona,219.85,999,La Secuita,391,Tarragonès,Tarragona,1708
MartiniItàlia,218.96,2860,-,665,,,
Blanch,218.93,1578,Puigpelat,38,Alt Camp,Tarragona,1163
Volaverunt,218.49,3328,-,3934,,,
Pendents - General,218.46,138203,-,8293,,,
Moliner & Camps,218.4,46597,Sant Sadurní d'Anoia,4338,Alt Penedès,Barcelona,12841
ChenetFrança (mousseux),218.33,5624,-,945,,,
Lo Castell de Baix,218.09,10242,-,3461,,,
Vinícola del Nordest,217.26,11076,Mollet de Peralada,376,Alt Empordà,Girona,198
Mas de Sant Iscle,216.99,69677,Sant Fruitós de Bages,222,Bages,Barcelona,8837
Marc Miquel Forés,216.79,16683,-,607,,,
Batllori,216.63,198924,Subirats,9144,Alt Penedès,Barcelona,3104
Mas Xarot,216.56,27769,Sant Sadurní d'Anoia,893,Alt Penedès,Barcelona,12841
Marina & Oriol,216.5,53634,Cunit,5342,Baix Penedès,Tarragona,13533
Permont's,216.31,207768,Sant Sadurní d'Anoia,4550,Alt Penedès,Barcelona,12841
Ballesgran,216.07,3936,-,580,,,
Calderé,215.71,1147,El Pla del Penedès,55,Alt Penedès,Barcelona,1275
Juan Pagès,215.29,64166,Piera,493,Anoia,Barcelona,16134
Elionor de Broch,215.13,31833,Sant Sadurní d'Anoia,3399,Alt Penedès,Barcelona,12841
Castell del Mirall,214.31,635,La Granada,75,Alt Penedès,Barcelona,2208
Galda,214.3,95591,Òdena,5805,Anoia,Barcelona,3668
MartelFrança (champagne),214.21,17370,-,2230,,,
Marguery (M.),213.85,29706,Barcelona,4123,Barcelonès,Barcelona,1664182
Cal Llusià,213.53,58674,Artés,735,Bages,Barcelona,5762
EmilleFrança (champagne),212.73,17423,-,1832,,,
Vives Molins,212.43,8710,-,3321,,,
Joan Segura Pujadas,212.06,878,Torrelavit,178,Alt Penedès,Barcelona,1422
Gabarró Isart - M,211.97,158243,Piera,7295,Anoia,Barcelona,16134
Castells Vintró,211.57,4043,Sant Sadurní d'Anoia,78,Alt Penedès,Barcelona,12841
Via Mercadera,211.44,7896,-,601,,,
Barza,210.97,54113,Brussels,4610,,Brussel·les-Capital,195546
"Genèriques - ""Champagne"" (litografiades)França (champagne)",210.74,11792,-,8890,,,
Bodegas Romale - E,210.44,38050,Almendralejo,3530,Tierra de Barros,Badajoz,34284
Jaume Grau Grau,210.38,41901,Castellfollit del Boix,4240,Bages,Barcelona,447
Bodegas Castaño - E,209.91,3563,Yecla,42,,Murcia,35957
