Municipi,Comarca,Població,Província,Comunitat Autònoma
Ribes de Freser,Ripollès,1760,Girona,Catalunya
Riells i Viabrea,Selva,4153,Girona,Catalunya
Riner,Solsonès,263,Lleida,Catalunya
Ripoll,Ripollès,10803,Girona,Catalunya
Ripollet,Vallès Occidental,39179,Barcelona,Catalunya
Riu de Cerdanya,Cerdanya,93,Lleida,Catalunya
Riudarenes,Selva,2204,Girona,Catalunya
Riudaura,Garrotxa,481,Girona,Catalunya
Riudecanyes,Baix Camp,1146,Tarragona,Catalunya
Riudecols,Baix Camp,1189,Tarragona,Catalunya
Riudellots de la Selva,Selva,2071,Girona,Catalunya
Riudoms,Baix Camp,6569,Tarragona,Catalunya
Riumors,Alt Empordà,246,Girona,Catalunya
Rocafort de Queralt,Conca de Barberà,211,Tarragona,Catalunya
Roda de Berà,Tarragonès,6785,Tarragona,Catalunya
Roda de Ter,Osona,6490,Barcelona,Catalunya
Rodonyà,Alt Camp,494,Tarragona,Catalunya
Roquetes,Baix Ebre,8079,Tarragona,Catalunya
Roses,Alt Empordà,19807,Girona,Catalunya
Rosselló,Segrià,3237,Lleida,Catalunya
Rubió,Anoia,239,Barcelona,Catalunya
Rubí,Vallès Occidental,78591,Barcelona,Catalunya
Rupit i Pruit,Osona,271,Barcelona,Catalunya
Rupià,Baix Empordà,273,Girona,Catalunya
Sabadell,Vallès Occidental,216520,Barcelona,Catalunya
Sagàs,Berguedà,145,Barcelona,Catalunya
Saldes,Berguedà,278,Barcelona,Catalunya
Sales de Llierca,Garrotxa,159,Girona,Catalunya
Sallent,Bages,6735,Barcelona,Catalunya
Salomó,Tarragonès,549,Tarragona,Catalunya
Salou,Tarragonès,28526,Tarragona,Catalunya
Salt,Gironès,32138,Girona,Catalunya
Salàs de Pallars,Pallars Jussà,327,Lleida,Catalunya
Sanaüja,Segarra,379,Lleida,Catalunya
Sant Adrià de Besòs,Barcelonès,37447,Barcelona,Catalunya
Sant Agustí de Lluçanès,Osona,89,Barcelona,Catalunya
Sant Andreu Salou,Gironès,160,Girona,Catalunya
Sant Andreu de Llavaneres,Maresme,11133,Barcelona,Catalunya
Sant Andreu de la Barca,Baix Llobregat,27569,Barcelona,Catalunya
Sant Aniol de Finestres,Garrotxa,345,Girona,Catalunya
Sant Antoni de Vilamajor,Vallès Oriental,6208,Barcelona,Catalunya
Sant Bartomeu del Grau,Osona,884,Barcelona,Catalunya
Sant Boi de Llobregat,Baix Llobregat,84500,Barcelona,Catalunya
Sant Boi de Lluçanès,Osona,580,Barcelona,Catalunya
Sant Cebrià de Vallalta,Maresme,3438,Barcelona,Catalunya
Sant Celoni,Vallès Oriental,18136,Barcelona,Catalunya
Sant Climent Sescebes,Alt Empordà,707,Girona,Catalunya
Sant Climent de Llobregat,Baix Llobregat,4160,Barcelona,Catalunya
Sant Cugat Sesgarrigues,Alt Penedès,1009,Barcelona,Catalunya
Sant Cugat del Vallès,Vallès Occidental,92977,Barcelona,Catalunya
Sant Esteve Sesrovires,Baix Llobregat,7696,Barcelona,Catalunya
Sant Esteve de Palautordera,Vallès Oriental,2864,Barcelona,Catalunya
Sant Esteve de la Sarga,Pallars Jussà,122,Lleida,Catalunya
Sant Feliu Sasserra,Bages,605,Barcelona,Catalunya
Sant Feliu de Buixalleu,Selva,797,Girona,Catalunya
Sant Feliu de Codines,Vallès Oriental,6363,Barcelona,Catalunya
Sant Feliu de Guíxols,Baix Empordà,22097,Girona,Catalunya
Sant Feliu de Llobregat,Baix Llobregat,45467,Barcelona,Catalunya
Sant Feliu de Pallerols,Garrotxa,1437,Girona,Catalunya
Sant Ferriol,Garrotxa,236,Girona,Catalunya
Sant Fost de Campsentelles,Vallès Oriental,8853,Barcelona,Catalunya
Sant Fruitós de Bages,Bages,8837,Barcelona,Catalunya
Sant Gregori,Gironès,3928,Girona,Catalunya
Sant Guim de Freixenet,Segarra,1037,Lleida,Catalunya
Sant Guim de la Plana,Segarra,181,Lleida,Catalunya
Sant Hilari Sacalm,Selva,5703,Girona,Catalunya
Sant Hipòlit de Voltregà,Osona,3540,Barcelona,Catalunya
Sant Iscle de Vallalta,Maresme,1342,Barcelona,Catalunya
Sant Jaume d'Enveja,Montsià,3527,Tarragona,Catalunya
Sant Jaume de Frontanyà,Berguedà,30,Barcelona,Catalunya
Sant Jaume de Llierca,Garrotxa,871,Girona,Catalunya
Sant Jaume dels Domenys,Baix Penedès,2624,Tarragona,Catalunya
Sant Joan Despí,Baix Llobregat,34267,Barcelona,Catalunya
Sant Joan de Mollet,Gironès,498,Girona,Catalunya
Sant Joan de Vilatorrada,Bages,10998,Barcelona,Catalunya
Sant Joan de les Abadesses,Ripollès,3224,Girona,Catalunya
Sant Joan les Fonts,Garrotxa,3044,Girona,Catalunya
Sant Jordi Desvalls,Gironès,760,Girona,Catalunya
Sant Julià de Cerdanyola,Berguedà,229,Barcelona,Catalunya
Sant Julià de Ramis,Gironès,3576,Girona,Catalunya
Sant Julià de Vilatorta,Osona,3140,Barcelona,Catalunya
Sant Julià del Llor i Bonmatí,Selva,1313,Girona,Catalunya
Sant Just Desvern,Baix Llobregat,18670,Barcelona,Catalunya
Sant Llorenç Savall,Vallès Occidental,2417,Barcelona,Catalunya
Sant Llorenç d'Hortons,Alt Penedès,2428,Barcelona,Catalunya
Sant Llorenç de Morunys,Solsonès,960,Lleida,Catalunya
Sant Llorenç de la Muga,Alt Empordà,265,Girona,Catalunya
Sant Martí Sarroca,Alt Penedès,3261,Barcelona,Catalunya
Sant Martí Sesgueioles,Anoia,342,Barcelona,Catalunya
Sant Martí Vell,Gironès,251,Girona,Catalunya
Sant Martí d'Albars,Lluçanès,114,Barcelona,Catalunya
Sant Martí de Centelles,Osona,1184,Barcelona,Catalunya
Sant Martí de Llémena,Gironès,641,Girona,Catalunya
Sant Martí de Riucorb,Urgell,639,Lleida,Catalunya
Sant Martí de Tous,Anoia,1228,Barcelona,Catalunya
Sant Mateu de Bages,Bages,608,Barcelona,Catalunya
Sant Miquel de Campmajor,Pla de l'Estany,229,Girona,Catalunya
Sant Miquel de Fluvià,Alt Empordà,761,Girona,Catalunya
Sant Mori,Alt Empordà,166,Girona,Catalunya
Sant Pau de Segúries,Ripollès,688,Girona,Catalunya
Sant Pere Pescador,Alt Empordà,2090,Girona,Catalunya
Sant Pere Sallavinera,Anoia,151,Barcelona,Catalunya
Sant Pere de Ribes,Garraf,31111,Barcelona,Catalunya
Sant Pere de Riudebitlles,Alt Penedès,2380,Barcelona,Catalunya
Sant Pere de Torelló,Osona,2470,Barcelona,Catalunya
Sant Pere de Vilamajor,Vallès Oriental,4544,Barcelona,Catalunya
Sant Pol de Mar,Maresme,5428,Barcelona,Catalunya
Sant Quintí de Mediona,Alt Penedès,2317,Barcelona,Catalunya
Sant Quirze Safaja,Moianès,631,Barcelona,Catalunya
Sant Quirze de Besora,Osona,2154,Barcelona,Catalunya
Sant Quirze del Vallès,Vallès Occidental,20195,Barcelona,Catalunya
Sant Ramon,Segarra,487,Lleida,Catalunya
Sant Sadurní d'Anoia,Alt Penedès,12841,Barcelona,Catalunya
Sant Sadurní d'Osormort,Osona,76,Barcelona,Catalunya
Sant Salvador de Guardiola,Bages,3221,Barcelona,Catalunya
Sant Vicenç de Castellet,Bages,9767,Barcelona,Catalunya
Sant Vicenç de Montalt,Maresme,6452,Barcelona,Catalunya
Sant Vicenç de Torelló,Osona,2058,Barcelona,Catalunya
Sant Vicenç dels Horts,Baix Llobregat,28268,Barcelona,Catalunya
Santa Bàrbara,Montsià,3715,Tarragona,Catalunya
Santa Cecília de Voltregà,Osona,182,Barcelona,Catalunya
Santa Coloma de Cervelló,Baix Llobregat,8268,Barcelona,Catalunya
Santa Coloma de Farners,Selva,13363,Girona,Catalunya
Santa Coloma de Gramenet,Barcelonès,120443,Barcelona,Catalunya
Santa Coloma de Queralt,Conca de Barberà,2672,Tarragona,Catalunya
Santa Cristina d'Aro,Baix Empordà,5287,Girona,Catalunya
Santa Eugènia de Berga,Osona,2278,Barcelona,Catalunya
Santa Eulàlia de Riuprimer,Osona,1383,Barcelona,Catalunya
Santa Eulàlia de Ronçana,Vallès Oriental,7426,Barcelona,Catalunya
Santa Fe del Penedès,Alt Penedès,367,Barcelona,Catalunya
Santa Llogaia d'Àlguema,Alt Empordà,368,Girona,Catalunya
Santa Margarida de Montbui,Anoia,10225,Barcelona,Catalunya
Santa Margarida i els Monjos,Alt Penedès,7676,Barcelona,Catalunya
Santa Maria d'Oló,Moianès,1024,Barcelona,Catalunya
Santa Maria de Besora,Osona,161,Barcelona,Catalunya
Santa Maria de Martorelles,Vallès Oriental,890,Barcelona,Catalunya
Santa Maria de Merlès,Berguedà,184,Barcelona,Catalunya
Santa Maria de Miralles,Anoia,119,Barcelona,Catalunya
Santa Maria de Palautordera,Vallès Oriental,9630,Barcelona,Catalunya
Santa Oliva,Baix Penedès,3353,Tarragona,Catalunya
Santa Pau,Garrotxa,1614,Girona,Catalunya
Santa Perpètua de Mogoda,Vallès Occidental,25999,Barcelona,Catalunya
Santa Susanna,Maresme,3548,Barcelona,Catalunya
Santpedor,Bages,7604,Barcelona,Catalunya
Sarral,Conca de Barberà,1538,Tarragona,Catalunya
Sarrià de Ter,Gironès,5229,Girona,Catalunya
Sarroca de Bellera,Pallars Jussà,116,Lleida,Catalunya
Sarroca de Lleida,Segrià,358,Lleida,Catalunya
"Saus, Camallera i Llampaies",Alt Empordà,856,Girona,Catalunya
Savallà del Comtat,Conca de Barberà,53,Tarragona,Catalunya
Senan,Conca de Barberà,44,Tarragona,Catalunya
Senterada,Pallars Jussà,139,Lleida,Catalunya
Sentmenat,Vallès Occidental,9235,Barcelona,Catalunya
Serinyà,Pla de l'Estany,1133,Girona,Catalunya
Serra de Daró,Baix Empordà,222,Girona,Catalunya
Seròs,Segrià,1946,Lleida,Catalunya
Setcases,Ripollès,170,Girona,Catalunya
Seva,Osona,3544,Barcelona,Catalunya
Sidamon,Pla d'Urgell,748,Lleida,Catalunya
Sils,Selva,6219,Girona,Catalunya
Sitges,Garraf,29553,Barcelona,Catalunya
Siurana,Alt Empordà,171,Girona,Catalunya
Sobremunt,Lluçanès,78,Barcelona,Catalunya
Solivella,Conca de Barberà,632,Tarragona,Catalunya
Solsona,Solsonès,9137,Lleida,Catalunya
Sora,Osona,212,Barcelona,Catalunya
Soriguera,Pallars Sobirà,420,Lleida,Catalunya
Sort,Pallars Sobirà,2154,Lleida,Catalunya
Soses,Segrià,1761,Lleida,Catalunya
Subirats,Alt Penedès,3104,Barcelona,Catalunya
Sudanell,Segrià,840,Lleida,Catalunya
Sunyer,Segrià,343,Lleida,Catalunya
Susqueda,Selva,93,Girona,Catalunya
Súria,Bages,5948,Barcelona,Catalunya
Tagamanent,Vallès Oriental,318,Barcelona,Catalunya
Talamanca,Bages,209,Barcelona,Catalunya
Talarn,Pallars Jussà,595,Lleida,Catalunya
Talavera,Segarra,279,Lleida,Catalunya
Taradell,Osona,6640,Barcelona,Catalunya
Tarragona,Tarragonès,136496,Tarragona,Catalunya
Tarroja de Segarra,Segarra,188,Lleida,Catalunya
Tarrés,Garrigues,102,Lleida,Catalunya
Tavertet,Osona,105,Barcelona,Catalunya
Tavèrnoles,Osona,322,Barcelona,Catalunya
Teià,Maresme,6427,Barcelona,Catalunya
Terrades,Alt Empordà,338,Girona,Catalunya
Terrassa,Vallès Occidental,223627,Barcelona,Catalunya
Torrelavit,Alt Penedès,1422,Barcelona,Catalunya
Tiana,Maresme,8945,Barcelona,Catalunya
Tiurana,Noguera,77,Lleida,Catalunya
Tivenys,Baix Ebre,902,Tarragona,Catalunya
Tivissa,Ribera d'Ebre,1619,Tarragona,Catalunya
Tona,Osona,8356,Barcelona,Catalunya
Tordera,Maresme,17519,Barcelona,Catalunya
Torelló,Osona,14400,Barcelona,Catalunya
Tornabous,Urgell,822,Lleida,Catalunya
Torre-serona,Segrià,398,Lleida,Catalunya
Torrebesses,Segrià,267,Lleida,Catalunya
Torredembarra,Tarragonès,16567,Tarragona,Catalunya
