Cava,Puntuació,id,Municipi,id_cava
Pagès & Entrena,357.35,147361,Piera,270
Grimau de Pujades - M. T.,355.14,120794,Sant Miquel d'Olèrdola,6149
Samuntà,355.1,140346,OLERDOLA,5497
Àngela Marquès Rigol,354.66,2049,Torrelavit,505
Abadia de Montserrat - M,351.79,135091,Puerto de Santa Maria,6799
Grup Sèries - Diari Tarragona,351.57,2471,,520
Via de la Plata - E,347.53,133113,Almendralejo,367
Bodegas Bilbainas - E,347.47,336,Haro,41
Conde de Valicourt,346.48,23994,Sant Sadurní d'Anoia,92
Delapierre,345.81,6926,-,111
Joan Piñol Torrents,345.03,67745,El Pla del Penedès,176
Domènec Jové Martí,344.62,3342,Sant Martí Sarroca,113
Pont Vell,344.34,1217,Montblanc,291
Talino - Pervers d'Talino,344.04,98469,Sitges,5904
Masia Sagué,343.52,353,Les Cabanyes del Penedès,384
Farré-Garriga,343.4,1987,Caldes de Malavella,128
Dama de Coll de Juny,341.41,2155,Sant Sadurní d'Anoia,508
Babot,340.84,60643,Sant Sadurní d'Anoia,19
Duque de Montebello,338.65,1637,Viladecans,118
Carles Rocha,338.14,1290,-,68
Vidal i Ferré,337.55,360,Aiguamúrcia,368
"Roederer, LouisFrança (champagne)",337.04,43663,,707
Musteus,336.89,47475,La Bisbal del Penedès,4579
Grivà - (M),334.59,132193,Sils,6699
"Abelé, HenriFrança (champagne)",334.13,8095,,655
Botigues - Celler de Gelida,333.61,34542,,487
Mas Comtal,333.6,979,Avinyonet del Penedès,241
Guillem Carol,332.96,18586,Subirats,156
Almirall,332.82,26225,Sant Sadurní d'Anoia,7
L'Alzinar,332.25,5058,Sant Sadurní d'Anoia,194
Cuscó Berga,331.55,58188,Avinyonet del Penedès,101
Beneit,331.22,1440,Sant Sadurní d'Anoia,31
Marcet,330.5,995,-,204
Sanstravé E,330.39,1369,Solivella,336
Mas Candí,329.88,128621,Les Gunyoles d'Avinyonet del Penedès,4093
Reymos - E,329.44,36678,Xeste,4090
Isabel Ventura Mavlyutova,329.42,76519,Subirats,4474
Sardà - (M.),328.65,827,Castellví de la Marca,437
Eulàlia de Pons,328.27,12456,La Granada,481
Torres Prunera,328.18,41307,Vilafranca del Penedès,425
Rekondo,327.63,10126,,8725
RI - I.C.R.FItàlia,327.05,2217,,826
Aires de Tramuntana,326.86,1926,Vilamalla,4465
Mas Mascort,326.59,32214,Sant Quintí de Mediona,3547
Solà Raventós,325.75,51444,Sant Sadurní d'Anoia,343
Bonaval - E,325.23,137796,Almendralejo,48
Alsinac,324.71,29858,-,3358
Mas Montcau,324.71,329,Sant Sadurní d'Anoia,225
Cal Damià,324.35,908,Sant Sadurní d'Anoia,54
Renardes,324.25,48815,El Pla del Penedès,572
Magust,320.38,100,Sant Pere de Riudebitlles,203
Joan i Pere Pons Font,320.11,148,La Granada,175
Butí Masana,320.05,72105,Sant Sadurní d'Anoia,52
Tutusaus,319.36,67300,Olesa de Bonesvalls,357
Portium,319.1,48284,Masquefa,4535
Medici ErmeteItàlia,319.07,2863,,660
Restauració,318.97,3791,,3
Coop. Nulles,318.89,49,Nulles,97
Coop. L'Espluga de Francolí,318.79,922,L'Espluga de Francolí,96
Marquès de Sarnella,318.65,24305,Girona,3513
Terra Terrae,318.5,151007,Vilafranca del Penedès,6299
Bodegas Vegamar - M,318.38,46457,Calles,3369
Analec,317.6,51092,Nalec,4040
Associacions i clubs,317.48,107027,,395
D'Abbatis,317.31,26961,La Secuita,4538
Cal Puig,316.37,47364,Calella,4370
Laviret,315.59,115455,Blanes,6234
Sala Casanovas,314.34,6079,Barcelona,651
Mas Macià,314.01,3897,Òdena,224
Montsant,313.87,351,Sant Sadurní d'Anoia,399
BollingerFrança (champagne),313.84,15505,,653
Castell de la Comanda,313.71,2377,Barberà de la Conca,552
Elementum Ad Fontes,313.2,216276,Sant Sadurní d'Anoia,6164
Avida Cava,313.02,22268,L'Hospitalet de Llobregat,3323
Can Ramon Viticultors de Montgros,312.51,35596,Sant Pere de Ribes,4187
Reverté,312.15,48796,Salomó,3995
Artis Arrufat,310.3,805,Vallirana,14
Roger Bertrand,310.18,39205,Sant Sadurní d'Anoia,560
Descregut,309.41,114884,VILOBI DEL PENEDES,8278
Laurent PerrierFrança (champagne),308.73,2715,,657
Clos La Soleya - (de Xamfrà),308.59,135413,-,7585
Markel,308.34,13118,Santa Margarida i els Monjos,402
2004,308.04,1479,,470
Antonieta Batllori,307.09,2932,Subirats,478
Pago de Tharsys - E,306.72,28468,REQUENA,832
Fèlix Massana Ràfols,306.25,87309,Subirats,472
Pere Munné Duran,306.16,210,Piera,284
Mas Pujadó,306.14,96592,Subirats,227
L'Aixertell,305.41,2054,-,193
Mazard - Heretat Cal Rubio,304.33,2668,Santa Margarida i els Monjos,441
Solés & Salvà,304.03,20176,Girona,7907
Rosa Maria Torres,303.53,10270,Sarral,321
Coll Font,303.48,1291,Sant Pere de Ribes,89
Alba Blanc,302.39,2,-,4
Robert de Tamir,301.44,3439,Vilafranca del Penedès,6265
La Xarmada,300.87,4391,Pacs del Penedès,192
Torres Valls,299.6,2000,Vilafranca del Penedès,426
Decordi VinicolaItàlia (ICRF),299.32,37238,,844
Mas Galí,298.95,44478,Sant Sadurní d'Anoia,1367
Joan Colet Rius,298.39,168834,Sant Sadurní d'Anoia,4186
